country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
SV;El Salvador;;;;;;15/02/2020;4;5;0;-1;4;-1
SV;El Salvador;;;;;;16/02/2020;4;6;1;1;0;0
SV;El Salvador;;;;;;17/02/2020;0;4;-3;1;5;0
SV;El Salvador;;;;;;18/02/2020;0;0;0;3;4;-1
SV;El Salvador;;;;;;19/02/2020;0;0;-1;2;3;-1
SV;El Salvador;;;;;;20/02/2020;-1;-1;-4;3;3;0
SV;El Salvador;;;;;;21/02/2020;0;2;-4;2;8;-1
SV;El Salvador;;;;;;22/02/2020;0;1;-3;-3;4;0
SV;El Salvador;;;;;;23/02/2020;0;1;0;-3;1;0
SV;El Salvador;;;;;;24/02/2020;-2;1;-3;0;5;0
SV;El Salvador;;;;;;25/02/2020;0;-1;-3;-1;4;-1
SV;El Salvador;;;;;;26/02/2020;-2;-3;3;-1;4;0
SV;El Salvador;;;;;;27/02/2020;-1;-1;-2;-2;3;0
SV;El Salvador;;;;;;28/02/2020;3;5;-3;-1;9;-2
SV;El Salvador;;;;;;29/02/2020;5;6;-2;0;6;-1
SV;El Salvador;;;;;;01/03/2020;7;8;2;2;4;-1
SV;El Salvador;;;;;;02/03/2020;3;7;-1;4;7;-1
SV;El Salvador;;;;;;03/03/2020;2;3;-3;0;6;-1
SV;El Salvador;;;;;;04/03/2020;1;2;0;-1;5;-1
SV;El Salvador;;;;;;05/03/2020;0;0;-3;-5;5;0
SV;El Salvador;;;;;;06/03/2020;0;1;-2;-2;10;-2
SV;El Salvador;;;;;;07/03/2020;-1;0;-3;-6;5;0
SV;El Salvador;;;;;;08/03/2020;0;0;-3;-6;2;1
SV;El Salvador;;;;;;09/03/2020;-2;1;-4;-2;6;0
SV;El Salvador;;;;;;10/03/2020;-1;0;-4;-2;5;-1
SV;El Salvador;;;;;;11/03/2020;0;14;1;-2;5;-1
SV;El Salvador;;;;;;12/03/2020;-7;7;-9;-13;-6;5
SV;El Salvador;;;;;;13/03/2020;-7;12;-11;-16;-1;4
SV;El Salvador;;;;;;14/03/2020;-11;8;-15;-16;0;5
SV;El Salvador;;;;;;15/03/2020;-21;3;-22;-23;-3;6
SV;El Salvador;;;;;;16/03/2020;-15;10;-17;-22;-9;7
SV;El Salvador;;;;;;17/03/2020;-23;5;-23;-25;-16;10
SV;El Salvador;;;;;;18/03/2020;-31;-3;-25;-30;-20;12
SV;El Salvador;;;;;;19/03/2020;-38;4;-35;-40;-32;17
SV;El Salvador;;;;;;20/03/2020;-50;-14;-44;-48;-38;22
SV;El Salvador;;;;;;21/03/2020;-58;-20;-50;-53;-35;20
SV;El Salvador;;;;;;22/03/2020;-83;-59;-74;-74;-53;23
SV;El Salvador;;;;;;23/03/2020;-76;-49;-66;-69;-66;34
SV;El Salvador;;;;;;24/03/2020;-78;-54;-69;-70;-68;34
SV;El Salvador;;;;;;25/03/2020;-77;-52;-67;-70;-68;34
SV;El Salvador;;;;;;26/03/2020;-77;-51;-68;-70;-68;34
SV;El Salvador;;;;;;27/03/2020;-75;-47;-67;-69;-65;34
SV;El Salvador;;;;;;28/03/2020;-79;-56;-70;-71;-60;28
SV;El Salvador;;;;;;29/03/2020;-81;-62;-72;-73;-50;23
SV;El Salvador;;;;;;30/03/2020;-69;-45;-60;-64;-64;32
SV;El Salvador;;;;;;31/03/2020;-69;-43;-61;-65;-64;31
SV;El Salvador;;;;;;01/04/2020;-70;-43;-60;-63;-64;32
SV;El Salvador;;;;;;02/04/2020;-71;-45;-62;-65;-65;32
SV;El Salvador;;;;;;03/04/2020;-72;-46;-64;-66;-63;33
SV;El Salvador;;;;;;04/04/2020;-76;-52;-68;-69;-57;28
SV;El Salvador;;;;;;05/04/2020;-78;-58;-70;-70;-48;22
SV;El Salvador;;;;;;06/04/2020;-69;-44;-62;-67;-67;33
SV;El Salvador;;;;;;07/04/2020;-75;-52;-66;-69;-70;33
SV;El Salvador;;;;;;08/04/2020;-75;-50;-66;-70;-72;34
SV;El Salvador;;;;;;09/04/2020;-79;-55;-70;-74;-79;37
SV;El Salvador;;;;;;10/04/2020;-85;-71;-77;-82;-83;41
SV;El Salvador;;;;;;11/04/2020;-84;-66;-76;-80;-72;33
SV;El Salvador;;;;;;12/04/2020;-82;-64;-75;-77;-53;24
SV;El Salvador;;;;;;13/04/2020;-73;-49;-67;-69;-67;34
SV;El Salvador;;;;;;14/04/2020;-73;-49;-66;-68;-65;33
SV;El Salvador;;;;;;15/04/2020;-71;-45;-63;-66;-64;33
SV;El Salvador;;;;;;16/04/2020;-70;-44;-63;-67;-65;33
SV;El Salvador;;;;;;17/04/2020;-71;-45;-65;-68;-62;34
SV;El Salvador;;;;;;18/04/2020;-77;-56;-70;-71;-57;29
SV;El Salvador;;;;;;19/04/2020;-82;-65;-75;-75;-51;24
SV;El Salvador;;;;;;20/04/2020;-71;-50;-64;-68;-63;33
SV;El Salvador;;;;;;21/04/2020;-72;-52;-66;-69;-64;32
SV;El Salvador;;;;;;22/04/2020;-72;-51;-65;-67;-64;32
SV;El Salvador;;;;;;23/04/2020;-72;-52;-66;-68;-64;33
SV;El Salvador;;;;;;24/04/2020;-71;-48;-65;-67;-60;33
SV;El Salvador;;;;;;25/04/2020;-75;-55;-69;-70;-56;28
SV;El Salvador;;;;;;26/04/2020;-79;-63;-74;-74;-49;23
SV;El Salvador;;;;;;27/04/2020;-68;-48;-62;-65;-60;32
SV;El Salvador;;;;;;28/04/2020;-68;-48;-62;-65;-61;27
SV;El Salvador;;;;;;29/04/2020;-67;-46;-60;-64;-60;31
SV;El Salvador;;;;;;30/04/2020;-63;-41;-58;-63;-60;30
SV;El Salvador;;;;;;01/05/2020;-75;-53;-69;-73;-75;37
SV;El Salvador;;;;;;02/05/2020;-70;-48;-65;-66;-53;27
SV;El Salvador;;;;;;03/05/2020;-76;-58;-71;-72;-46;22
SV;El Salvador;;;;;;04/05/2020;-63;-41;-59;-62;-57;30
SV;El Salvador;;;;;;05/05/2020;-64;-41;-60;-63;-59;30
SV;El Salvador;;;;;;06/05/2020;-63;-37;-56;-61;-59;29
SV;El Salvador;;;;;;07/05/2020;-83;-69;-73;-78;-70;36
SV;El Salvador;;;;;;08/05/2020;-84;-68;-74;-79;-67;37
SV;El Salvador;;;;;;09/05/2020;-84;-69;-75;-79;-62;31
